user.screen_name,user.name,user.id_str,user.created_at,user.description,user.location,user.url,user.followers_count,user.friends_count,user.statuses_count,user.lang,user.time_zone,user.geo_enabled,user.verified,topsy.influence,text,id_str,created_at,retweet_count,in_reply_to_screen_name,in_reply_to_status_id_str,source,coordinates.type,coordinates.coordinates.0,coordinates.coordinates.1,topsy.location.search_id,topsy.document_info.lang,topsy.document_info.sentiment	
ESA_org,Ecological Society,18049298,Thu Dec 11 15:25:38 +0000 2008,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC",http://www.esa.org,4978,423,1391,en,Eastern Time (US & Canada),,,,#ESA2012 speakers and presiders should have received instructions and other helpful info by email today and yesterday. (1/2),225704130470105090,Wed Jul 18 21:30:32 +0000 2012,,,,web,,,,us,en,	
ESA_org,Ecological Society,18049298,Thu Dec 11 15:25:38 +0000 2008,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC",http://www.esa.org,4978,423,1392,en,Eastern Time (US & Canada),,,,"If those emails are not getting through to you, please reply to one of the previously sent abstract emails (sent in April, May). #ESA2012",225704227975073792,Wed Jul 18 21:30:55 +0000 2012,,,,web,,,,us,en,	
ESA_org,Ecological Society,18049298,Thu Dec 11 15:25:38 +0000 2008,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC",http://www.esa.org,4978,423,1393,en,Eastern Time (US & Canada),,,,"If emails are not getting through to you, please reply to one of the previously sent abstract emails (sent in April, May). #ESA2012 (2/2)",225704313362722816,Wed Jul 18 21:31:16 +0000 2012,,,,web,,,,us,en,	
DrFionaLM,Fiona Murphy,20386697,Sun Feb 08 19:33:42 +0000 2009,"STM publisher (Wiley-Blackwell), interested in earth & env sciences, data, innovative sci communication. Tweets my own.","Sussex, England",,298,562,1312,en,London,,,,RT @datadryad: RT @_inundata: Attending #ESA2012 this year? There is still time to register for our R data workshop. http://t.co/kCw1wem ...,225711472376954881,Wed Jul 18 21:59:43 +0000 2012,1,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,gb,en,	
davidjayharris,Dave Harris,308065135,Mon May 30 19:33:40 +0000 2011,,,,42,74,889,en,,,,,RT @ESA_org: #ESA2012 speakers and presiders should have received instructions and other helpful info by email today and yesterday. (1/2),225721502941736960,Wed Jul 18 22:39:34 +0000 2012,,,,web,,,,us,en,	
davidjayharris,Dave Harris,308065135,Mon May 30 19:33:40 +0000 2011,,,,42,74,890,en,,,,,"RT @ESA_org: If emails are not getting through to you, please reply to one of the previously sent abstract emails (sent in April, May).  ...",225721513947590656,Wed Jul 18 22:39:37 +0000 2012,,,,web,,,,us,en,	
naupakaz,Naupaka Zimmerman,14521062,Fri Apr 25 02:03:40 +0000 2008,"Grad student @Stanford.  Microbial ecology, biogeochemistry, micro-mycology. Aspirant boffin, epicure, geek.",Bay Area,,89,314,183,en,Pacific Time (US & Canada),,,,RT @_inundata: Attending #ESA2012 this year? There is still time to register for our R data workshop. http://t.co/kHT0LhTM cost = $0,225834515598295040,Thu Jul 19 06:08:38 +0000 2012,4,,,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>",,,,us,en,	
esa_students,ESA Student Section,205474173,Wed Oct 20 23:42:17 +0000 2010,"Student Section of the Ecological Society of America. 	
Goal:	
To facilitate communication and interactions among all students and within the rest of ESA. :-)",,http://www.esa.org/students/section/,104,30,134,en,,,,,RT @_inundata: Attending #ESA2012 this year? There is still time to register for our R data workshop. http://t.co/kHT0LhTM cost = $0,225834749946650625,Thu Jul 19 06:09:34 +0000 2012,5,,,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>",,,,,en,	
carlystrasser,Carly Strasser,190246525,Mon Sep 13 13:26:52 +0000 2010,"Marine scientist by training, now at California Digital Library getting scientists excited about data management, sharing, and archiving. ","Berkeley, CA",http://carlystrasser.net,513,403,1354,en,Pacific Time (US & Canada),,,,@LizNeeley @_inundata @labroides @jebyrnes @miriamgoldste ordered. will distribute in portland! #ESA2012,225951699641180160,Thu Jul 19 13:54:17 +0000 2012,,LizNeeley,225715990103732224,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",,,,us,en,	
MiriamGoldste,Miriam Goldstein,21917716,Wed Feb 25 20:57:36 +0000 2009,Marine biologist and science blogger at Deep Sea News (#DeepSN). More info at my professional page http://miriamgoldstein.info.,"San Diego, CA",http://deepseanews.com,2820,583,7673,en,Pacific Time (US & Canada),,,,"@carlystrasser AWESOME. ""We're ecologists, and this is crazy. But here's my handle - tweet me maybe?"" #ESA2012",225974068397101057,Thu Jul 19 15:23:10 +0000 2012,,carlystrasser,225951699641180160,web,,,,us,en,1	
ESA_org,Ecological Society,18049298,Thu Dec 11 15:25:38 +0000 2008,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC",http://www.esa.org,4987,426,1398,en,Eastern Time (US & Canada),,,,"hey @NEONInc I was thinking of making ""tweeting #ESA2012 @______"" badge inserts or stickers. What do you think?",226019500972179457,Thu Jul 19 18:23:42 +0000 2012,,NEONInc,225385691285176321,web,,,,us,en,	
ESA_org,Ecological Society,18049298,Thu Dec 11 15:25:38 +0000 2008,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC",http://www.esa.org,4987,426,1399,en,Eastern Time (US & Canada),,,,The programs are here! #ESA2012 http://t.co/T6UOqXaO,226048095488720896,Thu Jul 19 20:17:21 +0000 2012,,,,web,,,,us,en,	
ErikSvensson,Erik Svensson,22421578,Sun Mar 01 23:25:13 +0000 2009,"Evolutionary biologist and ecologist. Personal tweets about evolutionary biology, philosophy, politics and nature. Antiauthoritarian marxist and ecosocialist.",Lund (Sweden),http://svenssonresearchlaboratory.blogspot.com/,489,881,4712,en,Copenhagen,,,,RT @INNGEcologist: Just in time for #ESA2012 : 'Field Guide to Scientific Conferences: an Ecological View' from @ESA_org Bulletin http:/ ...,226305961395109888,Fri Jul 20 13:22:00 +0000 2012,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,se,en,	
Ichnologist,Anthony (Tony)Martin,226011566,Mon Dec 13 02:39:31 +0000 2010,"I study traces and trace fossils: tracks, trails, burrows, nests, and other signs of life. Upcoming book is  Life Traces of the Georgia Coast (IU Press).","Atlanta, Georgia (USA)",http://www.georgialifetraces.com/,700,468,5056,en,Eastern Time (US & Canada),,,,"RT @JacquelynGill: How Mountains Maintain Diversity: Evaluating Climate Refugia from Genetics, Paleoecology, and Models at #ESA2012 http ...",226365812003467264,Fri Jul 20 17:19:49 +0000 2012,,,,web,,,,us,en,	
CitSciCentral,citizenscience.org,50363573,Wed Jun 24 17:01:24 +0000 2009,"Supporting initiatives engaging public participants in scientific research (citizen science, volunteer monitoring, etc.).",Cornell Lab of Ornithology,http://www.citizenscience.org,148,42,195,en,Eastern Time (US & Canada),,,,RT @ESA_org: Public Participation in Scientific Research conference at #ESA2012 http://t.co/tN5vAvzQ #CitizenScience,226367739370012672,Fri Jul 20 17:27:29 +0000 2012,,,,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",,,,us,en,	
ESA_org,Ecological Society,18049298,Thu Dec 11 15:25:38 +0000 2008,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC",http://www.esa.org,4996,426,1404,en,Eastern Time (US & Canada),,,,@darwinsbulldog &gt;10 local freelancers registered for #ESA2012 &amp; press may register on site. Details: http://t.co/eMUGgSxE,227173063542861825,Sun Jul 22 22:47:33 +0000 2012,,darwinsbulldog,226557090221666304,web,,,,us,en,	
ty_tuff,Ty Tuff,387334680,Sat Oct 08 21:34:56 +0000 2011,I think for a living and play the rest of the time.,"Boulder, CO",http://www.colorado.edu/ebio/tuff,22,104,391,en,Mountain Time (US & Canada),True,,,Check this out. http://t.co/66g4Jus4 #esa2012,227389388076748800,Mon Jul 23 13:07:09 +0000 2012,,,,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",,,,us,en,	
MiriamGoldste,Miriam Goldstein,21917716,Wed Feb 25 20:57:36 +0000 2009,Marine biologist and science blogger at Deep Sea News (#DeepSN). More info at my professional page http://miriamgoldstein.info.,"San Diego, CA",http://deepseanews.com,2831,580,7703,en,Pacific Time (US & Canada),,,,Suggest for @upwell_us calendar - #ESA2012! Portland OR Aug 6-10. A bunch of marine tweeps will be there!,227449720212176897,Mon Jul 23 17:06:53 +0000 2012,,,,web,,,,us,en,	
DotsCoolScience,Dorothy Emry,285093072,Wed Apr 20 14:26:11 +0000 2011,"Robots, theoretical physics, marine biology...what's not to like? Oh, and I also write science fiction among other things.","Lansing, IL",http://dorothyemry.wordpress.com/,189,326,8026,en,Central Time (US & Canada),True,,,RT @MiriamGoldste: Suggest for @upwell_us calendar - #ESA2012! Portland OR Aug 6-10. A bunch of marine tweeps will be there!,227454538033025024,Mon Jul 23 17:26:02 +0000 2012,,,,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",,,,us,en,	
MiriamGoldste,Miriam Goldstein,21917716,Wed Feb 25 20:57:36 +0000 2009,Marine biologist and science blogger at Deep Sea News (#DeepSN). More info at my professional page http://miriamgoldstein.info.,"San Diego, CA",http://deepseanews.com,2831,580,7705,en,Pacific Time (US & Canada),,,,@labroides @upwell_us YAAAY! Also @jebyrnes @_inundata @carlystrasser @LizNeeley @JacquelynGill @edyong209 &amp; I think @JohnFBruno #ESA2012,227459889004437506,Mon Jul 23 17:47:18 +0000 2012,,labroides,227450873889042432,web,,,,us,en,	
labroides,Dr. Wrasse,110031075,Sun Jan 31 03:20:58 +0000 2010,I'm a marine biologist who liked to swear too much to keep a professional profile. ,"Chicago, IL;  Suva, Fiji",,909,413,18727,en,Mountain Time (US & Canada),True,,,@MiriamGoldste wait are we going to talks too? Or just having an amazing time at Rogue Brewery? #NoSleep #ESA2012,227460256710656002,Mon Jul 23 17:48:45 +0000 2012,,MiriamGoldste,227459889004437506,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,us,en,1	
