"","screen_name","name","id","desc","location","url","followers","friends","status_count","lang","time_zone","geo","verified","influence","text","tweet_id","tweet_date","retweets","in_reply_to","reply_id","source","coords_type","cooords_lat","coords_long","location_search_id","doc_lang","sentiment"
"1020","naupakaz","Naupaka Zimmerman",14521062,"Grad student @Stanford.  Microbial ecology, biogeochemistry, micro-mycology. Aspirant boffin, epicure, geek. Also moonlight at @INNGEcologist and @esa_students","Bay Area","",116,357,261,"en","Pacific Time (US & Canada)","","",NA,"Pickett: How community generates objectivity: old mythology of sci is narrow—weight of objectivity on shoulders of indiv researchrs #ESA2012",232497924045668352,2008-04-24 19:03:40,NA,"",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","",NA,NA,"us","en",NA
"1021","biocreativity","h. gillespie",326209274,"Ecologist, artist, conservation biologist and science writer from Austin, Texas. Blogs about art, biology, creativity, science, design, nature and more.","Austin, TX","http://biocreativity.wordpress.com",211,281,494,"en","Central Time (US & Canada)","","",NA,"#Biocreativity at #ESA2012! New post about art-science events at the @ESA_org annual meeting in Portland! http://t.co/9ek1ICjr",232497933021503488,2011-06-29 08:16:06,NA,"",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","",NA,NA,"us","en",NA
"1022","BioLibelula","Sandra Biolibélula",228414520,"PhD in Biochemistry working as a scientist in Germany. I like to use something called eñe (ñ) specially under my Okiagari-koboshi state of mind","Europe & America","http://goo.gl/TIA8h",486,324,4868,"en","Berlin","True","",NA,"RT @BMC_series: Everyone at #ESA2012 interested in photography and imaging - why not enter our #ImagingEcology competition? http://t.co/ ...",232498152878522368,2010-12-19 09:08:50,NA,"",NA,"web","",NA,NA,"","en",NA
"1023","cboettig","Carl Boettiger",105529826,"Theoretical ecology & evolution, open science, hpc, active learning. http://www.carlboettiger.info","Davis, CA","http://www.carlboettiger.info",878,646,1800,"en","","True","",NA,"#esa2012 @biocreativity Speaking of art-science collab, don't forget Dr. Scheffer's ""Critical Transitions, the Movie"" http://t.co/2nM6RxL9",232498530802073600,2010-01-16 08:43:33,NA,"",NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","",NA,NA,"us","en",NA
"1024","naupakaz","Naupaka Zimmerman",14521062,"Grad student @Stanford.  Microbial ecology, biogeochemistry, micro-mycology. Aspirant boffin, epicure, geek. Also moonlight at @INNGEcologist and @esa_students","Bay Area","",116,357,262,"en","Pacific Time (US & Canada)","","",NA,"Pickett: Alternative to indiv objectivity is contextual empiricism -&gt; objectivity results frm community of many eyes, experiences #ESA2012",232498548749508608,2008-04-24 19:03:40,NA,"",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","",NA,NA,"us","en",NA
"1025","ideas4sust","ideas4sustainability",308911758,"Ideas for sustainability is a forum to discuss exciting ideas that might help us reach a sustainable future. Visit http://ideas4sustainability.wordpress.com/ ","Leuphana University Lueneburg","http://sites.google.com/site/joernfischerspage/Home",170,161,246,"en","","","",NA,"Steward Pickett: ESA is about discovery, community and engaging society #ESA2012, but is science objective? http://t.co/ZVpHtZW3",232498781046845440,2011-05-31 23:20:01,NA,"",NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","",NA,NA,"","en",NA
"1026","esa_students","ESA Student Section",205474173,"Student Section of the Ecological Society of America. 	
Goal:	
To facilitate communication and interactions among all students and within the rest of ESA. :-)","","http://www.esa.org/students/section/",140,34,158,"en","","","",NA,"Come by the Student Section booth at #ESA2012 and vote for your favorite photos in the EcoVision competition - voting ends Tues am",232498832389337088,2010-10-20 16:42:17,NA,"",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","",NA,NA,"us","en",NA
"1027","JenEDavison","Jen Davison",308623046,"Finding ways to share science at UWa College of the Environment. Fueled by curiosity, wild places, community, yoga, dogs, chocolate. Views my own.","Seattle, WA","http://depts.washington.edu/coenv/news-blog/",495,595,2935,"en","Pacific Time (US & Canada)","","",NA,"S. Pickett discussing how @ESA_org runs on journal subscriptions, envisioning how that might change soon #openaccess #ESA2012",232498888718827520,2011-05-31 11:31:11,NA,"",NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","",NA,NA,"us","en",NA
"1028","cboettig","Carl Boettiger",105529826,"Theoretical ecology & evolution, open science, hpc, active learning. http://www.carlboettiger.info","Davis, CA","http://www.carlboettiger.info",878,646,1802,"en","","True","",NA,"RT @JenEDavison: S. Pickett discussing how @ESA_org runs on journal subscriptions, envisioning how that might change soon #openaccess #E ...",232498949838209024,2010-01-16 08:43:33,NA,"",NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","",NA,NA,"us","en",NA
"1029","treebiology","Kim Landsbergen ",80059140,"Personal musings on ecology, life, etc. Daily attempts at staving off ecological despair. Embedded scientist at a college of art & design.","Columbus, Ohio - USA","",172,705,1132,"en","","True","",NA,"Dear @ESA_org, pls issue attendees  Hermione-style Time-turners. I must disrupt the space-time continuum to see all the good stuff. #ESA2012",232499102968066048,2009-10-05 09:07:08,NA,"",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","",NA,NA,"us","en",1
