keyword,Time (UTC),timestamp,influential,mentions
#esa2012,"Aug 09, 2012 22:00 (UTC)",1344549600,7,86
#esa2012,"Aug 09, 2012 23:00 (UTC)",1344553200,1,57
#esa2012,"Aug 10, 2012 00:00 (UTC)",1344556800,0,24
#esa2012,"Aug 10, 2012 01:00 (UTC)",1344560400,0,8
#esa2012,"Aug 10, 2012 02:00 (UTC)",1344564000,0,35
#esa2012,"Aug 10, 2012 03:00 (UTC)",1344567600,0,3
#esa2012,"Aug 10, 2012 04:00 (UTC)",1344571200,2,17
#esa2012,"Aug 10, 2012 05:00 (UTC)",1344574800,14,25
#esa2012,"Aug 10, 2012 06:00 (UTC)",1344578400,4,9
#esa2012,"Aug 10, 2012 07:00 (UTC)",1344582000,0,2
#esa2012,"Aug 10, 2012 08:00 (UTC)",1344585600,2,16
#esa2012,"Aug 10, 2012 09:00 (UTC)",1344589200,0,2
#esa2012,"Aug 10, 2012 10:00 (UTC)",1344592800,0,6
#esa2012,"Aug 10, 2012 11:00 (UTC)",1344596400,5,9
#esa2012,"Aug 10, 2012 12:00 (UTC)",1344600000,1,4
#esa2012,"Aug 10, 2012 13:00 (UTC)",1344603600,0,17
#esa2012,"Aug 10, 2012 14:00 (UTC)",1344607200,0,1
#esa2012,"Aug 10, 2012 15:00 (UTC)",1344610800,8,51
#esa2012,"Aug 10, 2012 16:00 (UTC)",1344614400,52,184
#esa2012,"Aug 10, 2012 17:00 (UTC)",1344618000,17,132
#esa2012,"Aug 10, 2012 18:00 (UTC)",1344621600,24,119
#esa2012,"Aug 10, 2012 19:00 (UTC)",1344625200,1,31
#esa2012,"Aug 10, 2012 20:00 (UTC)",1344628800,1,9
#esa2012,"Aug 10, 2012 21:00 (UTC)",1344632400,1,11
#esa2012,"Aug 10, 2012 22:00 (UTC)",1344636000,0,5
#esa2012,"Aug 10, 2012 23:00 (UTC)",1344639600,0,4
#esa2012,"Aug 11, 2012 00:00 (UTC)",1344643200,0,3
#esa2012,"Aug 11, 2012 01:00 (UTC)",1344646800,0,1
#esa2012,"Aug 11, 2012 02:00 (UTC)",1344650400,2,3
#esa2012,"Aug 11, 2012 03:00 (UTC)",1344654000,0,8
#esa2012,"Aug 11, 2012 04:00 (UTC)",1344657600,0,4
#esa2012,"Aug 11, 2012 05:00 (UTC)",1344661200,1,4
#esa2012,"Aug 11, 2012 06:00 (UTC)",1344664800,0,1
#esa2012,"Aug 11, 2012 07:00 (UTC)",1344668400,0,0
#esa2012,"Aug 11, 2012 08:00 (UTC)",1344672000,0,1
#esa2012,"Aug 11, 2012 09:00 (UTC)",1344675600,0,0
#esa2012,"Aug 11, 2012 10:00 (UTC)",1344679200,0,0
#esa2012,"Aug 11, 2012 11:00 (UTC)",1344682800,0,1
#esa2012,"Aug 11, 2012 12:00 (UTC)",1344686400,1,3
#esa2012,"Aug 11, 2012 13:00 (UTC)",1344690000,0,2
#esa2012,"Aug 11, 2012 14:00 (UTC)",1344693600,0,1
#esa2012,"Aug 11, 2012 15:00 (UTC)",1344697200,1,7
#esa2012,"Aug 11, 2012 16:00 (UTC)",1344700800,0,2
#esa2012,"Aug 11, 2012 17:00 (UTC)",1344704400,0,1
#esa2012,"Aug 11, 2012 18:00 (UTC)",1344708000,0,3
#esa2012,"Aug 11, 2012 19:00 (UTC)",1344711600,0,2
#esa2012,"Aug 11, 2012 20:00 (UTC)",1344715200,0,6
#esa2012,"Aug 11, 2012 21:00 (UTC)",1344718800,0,2
